eventid,spider_oid,deleted,
6029707717833839,301146484983574300009796110112,,
6029710981650272,301146485019808200009797110112,,
6017379797433063,301146485051910400009798110112,,
6029733988326375,301146485099176300009799110112,Y,
6029735735850265,301146485127752100009800110112,Y,
6029739088130964,301146467898777200009739110117,,
6029743350084239,301146590272124500009862110229,,
6029746116614074,301146590237507100009861110229,,
6029750207670365,301146590224620400009860110229,,
6029753313556003,301146590205143700009859110229,,
6013816502377427,301146760035928200009909110115,,
6013801994282150,301146604510786800009865110117,,
6013806244265793,301146727073889600009891110115,,
6013807743679272,301146727093438900009892110115,,
6013812546794498,301146759991634300009907110115,,
6013776218272829,301146710051269100009880110228,,
6013778579646914,301146606612179200009869110228,,
6013782178190434,301146716075009300009888110113,,
6013788764500069,301146759971244800009906110115,,
6029733988326375,301147209248247700010369110112,Y,
6033992049346214,301147245382715700010381110116,,
